scientificName,eventDate,decimalLatitude,decimalLongitude,county,stateProvince,individualCount,basisOfRecord,occurrenceStatus
"Coleura afra (Peters, 1852)",2012-09-23,-4.61532,39.35317,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Coleura afra (Peters, 1852)",2012-09-30,-4.08171,39.48295,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Miniopterus minor Peters, 1867",2012-09-25,-4.61542,39.35286,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Rousettus aegyptiacus (E.Geoffroy, 1810)",2012-09-24,-3.29986,39.99509,Kilifi,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Epomophorus wahlbergi (Sundevall, 1846)",2012-09-23,-3.29986,39.99509,Kilifi,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Taphozous hildegardeae Thomas, 1909",2012-09-25,-4.6142,39.35423,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Miniopterus minor Peters, 1867",2012-09-30,-4.08171,39.48295,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Rousettus aegyptiacus (E.Geoffroy, 1810)",2012-10-04,-3.29986,39.99509,Kilifi,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Taphozous hildegardeae Thomas, 1909",2012-09-22,-4.64706,39.38037,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Taphozous hildegardeae Thomas, 1909",2012-09-21,-4.64706,39.38037,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Coleura afra (Peters, 1852)",2012-09-25,-4.6142,39.35423,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Triaenops afer Peters, 1876",2012-09-25,-4.6142,39.35423,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Miniopterus Bonaparte, 1837",2012-09-30,-4.08171,39.48295,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Rhinolophus deckenii Peters, 1868",2012-10-04,-3.29986,39.99509,Kilifi,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Miniopterus minor Peters, 1867",2012-09-23,-4.61532,39.35317,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Hipposideros vittatus (Peters, 1852)",2012-09-23,-4.61532,39.35317,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
"Taphozous hildegardeae Thomas, 1909",2012-09-23,-4.64692,39.37793,Kwale,Kenyan Coast,1,PRESERVED_SPECIMEN,PRESENT
